seq_id	sample	nread
LPASA1518-22	G4FG95	22
LPASA1519-22	G4FG95	2
LPASA1520-22	G4FG95	6
LPASA1521-22	G4FG95	11
LPASA1522-22	G4FG95	7
LPASA1523-22	G4FG95	5
LPASA1524-22	G4FG95	4
LPASA1525-22	G4FG95	6
LPASA1526-22	G4FG95	14
LPASA1528-22	G4FG95	8
LPASA1529-22	G4FG95	12
LPASA1530-22	G4FG95	6
LPASA1531-22	G4FG95	3
LPASA1532-22	G4FG95	18
LPASA1533-22	G4FG95	23
LPASA1534-22	G4FG95	23
LPASA1535-22	G4FG95	14
LPASA1536-22	G4FG95	12
LPASA1537-22	G4FG95	26
LPASA1538-22	G4FG95	27
LPASA1539-22	G4FG95	28
LPASA1540-22	G4FG95	23
LPASA1541-22	G4FG95	27
LPASA1542-22	G4FG95	28
LPASA1543-22	G4FG95	22
LPASA1544-22	G4FG95	23
LPASA1545-22	G4FG95	27
LPASA1546-22	G4FG95	25
LPASA1547-22	G4FG95	32
LPASA1548-22	G4FG95	28
LPASA1549-22	G4FG95	25
LPASA1550-22	G4FG95	23
LPASA1551-22	G4FG95	15
LPASA1552-22	G4FG95	33
LPASA1553-22	G4FG95	42
LPASA1554-22	G4FG95	33
LPASA1555-22	G4FG95	28
LPASA1556-22	G4FG95	40
LPASA1557-22	GRS8LA	26
LPASA1558-22	GRS8LA	31
LPASA1559-22	GRS8LA	25
LPASA1560-22	GRS8LA	26
LPASA1561-22	GRS8LA	8
LPASA1562-22	GRS8LA	32
LPASA1563-22	GRS8LA	31
LPASA1564-22	GRS8LA	35
LPASA1565-22	GRS8LA	26
LPASA1566-22	GRS8LA	28
LPASA1567-22	GRS8LA	37
LPASA1568-22	GRS8LA	29
LPASA1569-22	GRS8LA	27
LPASA1570-22	GRS8LA	24
LPASA1571-22	GRS8LA	31
LPASA1572-22	GRS8LA	41
LPASA1573-22	GRS8LA	41
LPASA1574-22	GRS8LA	38
LPASA1575-22	GRS8LA	35
LPASA1576-22	GRS8LA	23
LPASA1577-22	GRS8LA	19
LPASA1578-22	GRS8LA	24
LPASA1579-22	GRS8LA	28
LPASA1580-22	GRS8LA	21
LPASA1581-22	GRS8LA	31
LPASA1582-22	GRS8LA	21
LPASA1583-22	GRS8LA	23
LPASA1584-22	GRS8LA	26
LPASA1585-22	GRS8LA	35
LPASA1586-22	GRS8LA	8
LPASA1587-22	GRS8LA	20
LPASA1588-22	GRS8LA	22
LPASA1589-22	GRS8LA	24
LPASA1590-22	GRS8LA	27
LPASA1591-22	GRS8LA	29
LPASA1592-22	GRS8LA	25
LPASA1593-22	GRS8LA	32
LPASA1594-22	GRS8LA	36
LPASA1595-22	GRS8LA	15
LPASA1596-22	GRS8LA	27
LPASA1597-22	GRS8LA	37
LPASA1598-22	GRS8LA	32
LPASA1599-22	GRS8LA	17
LPASA1600-22	GRS8LA	30
LPASA1601-22	GRS8LA	23
LPASA1602-22	GRS8LA	15
LPASA1603-22	GRS8LA	21
LPASA1604-22	GRS8LA	25
LPASA1606-22	GRS8LA	12
LPASA1607-22	GRS8LA	22
LPASA1608-22	GRS8LA	7
LPASA1609-22	GRS8LA	20
LPASA1610-22	GRS8LA	10
LPASA1611-22	GRS8LA	10
LPASA1612-22	GRS8LA	6
LPASA1613-22	GRS8LA	5
LPASA1614-22	GRS8LA	26
LPASA1615-22	GRS8LA	21
LPASA1616-22	GRS8LA	2
LPASA1617-22	GRS8LA	29
LPASA1618-22	GRS8LA	31
LPASA1619-22	GRS8LA	25
LPASA1620-22	GRS8LA	24
LPASA1621-22	GRS8LA	13
LPASA1622-22	GRS8LA	9
LPASA1623-22	GRS8LA	28
LPASA1624-22	GRS8LA	24
LPASA1625-22	GRS8LA	33
LPASA1626-22	GRS8LA	13
LPASA1627-22	GRS8LA	26
LPASA1628-22	GE4WUW	3
LPASA1629-22	GE4WUW	10
LPASA1630-22	GE4WUW	6
LPASA1631-22	GE4WUW	18
LPASA1632-22	GE4WUW	12
LPASA1633-22	GE4WUW	8
LPASA1634-22	GE4WUW	6
LPASA1635-22	GE4WUW	11
LPASA1636-22	GE4WUW	14
LPASA1637-22	GE4WUW	6
LPASA1638-22	GE4WUW	8
LPASA1639-22	GE4WUW	10
LPASA1640-22	GE4WUW	7
LPASA1641-22	GE4WUW	7
LPASA1642-22	GE4WUW	6
LPASA1643-22	GE4WUW	10
LPASA1644-22	GE4WUW	12
LPASA1645-22	GE4WUW	7
LPASA1646-22	GE4WUW	6
LPASA1647-22	GE4WUW	9
LPASA1648-22	GE4WUW	5
LPASA1649-22	GE4WUW	26
LPASA1650-22	GE4WUW	8
LPASA1651-22	GE4WUW	11
LPASA1652-22	GE4WUW	5
LPASA1653-22	GE4WUW	9
LPASA1654-22	GE4WUW	12
LPASA1655-22	GE4WUW	9
LPASA1656-22	GE4WUW	10
LPASA1657-22	GE4WUW	22
LPASA1658-22	GE4WUW	20
LPASA1659-22	GE4WUW	19
LPASA1660-22	GE4WUW	21
LPASA1661-22	GE4WUW	24
LPASA1662-22	GE4WUW	22
LPASA1663-22	GE4WUW	22
LPASA1664-22	GE4WUW	21
LPASA1665-22	GE4WUW	25
LPASA1666-22	GE4WUW	22
LPASA1667-22	GE4WUW	22
LPASA1668-22	GE4WUW	23
LPASA1669-22	GE4WUW	23
LPASA1670-22	GE4WUW	23
LPASA1671-22	GE4WUW	14
LPASA1672-22	GE4WUW	24
LPASA1673-22	GE4WUW	24
LPASA1674-22	GE4WUW	27
LPASA1675-22	GE4WUW	18
LPASA1676-22	GE4WUW	26
LPASA1677-22	GE4WUW	23
LPASA1678-22	GE4WUW	31
LPASA1679-22	GE4WUW	27
LPASA1680-22	GE4WUW	25
LPASA1681-22	GE4WUW	22
LPASA1682-22	GE4WUW	16
LPASA1683-22	GE4WUW	25
LPASA1684-22	GE4WUW	21
LPASA1685-22	GE4WUW	19
LPASA1686-22	GE4WUW	17
LPASA1687-22	GE4WUW	23
LPASA1688-22	GE4WUW	26
LPASA1689-22	GE4WUW	26
LPASA1690-22	GE4WUW	22
LPASA1691-22	GE4WUW	19
LPASA1692-22	GE4WUW	28
LPASA1693-22	GE4WUW	20
LPASA1694-22	GE4WUW	19
LPASA1695-22	GE4WUW	19
LPASA1696-22	GE4WUW	26
LPASA1697-22	GE4WUW	27
LPASA1698-22	GE4WUW	31
LPASA1699-22	GE4WUW	26
LPASA1700-22	GE4WUW	16
LPASA1701-22	GE4WUW	24
LPASA1702-22	GE4WUW	21
LPASA1703-22	GE4WUW	19
LPASA1704-22	GE4WUW	24
LPASA1705-22	GE4WUW	18
LPASA1706-22	GE4WUW	23
LPASA1707-22	GE4WUW	20
LPASA1708-22	GE4WUW	25
LPASA1709-22	GE4WUW	20
LPASA1710-22	GE4WUW	21
LPASA1711-22	GE4WUW	21
LPASA1712-22	GE4WUW	19
LPASA1713-22	GE4WUW	29
LPASA1714-22	GE4WUW	28
LPASA1715-22	GE4WUW	24
LPASA1716-22	GE4WUW	27
LPASA1717-22	GE4WUW	31
LPASA1718-22	GE4WUW	27
LPASA1719-22	GE4WUW	31
LPASA1720-22	GE4WUW	27
LPASA1721-22	GE4WUW	27
LPASA1722-22	GE4WUW	25
LPASA1723-22	GE4WUW	30
LPASA1724-22	GE4WUW	25
LPASA1725-22	GE4WUW	27
LPASA1726-22	GE4WUW	27
